"","Open","High","Low","Close","Volume","Adjusted"
"2007-01-03",3.0817859172821,3.09214305877686,2.92499995231628,2.99285697937012,1238319600,2.53698468208313
"2007-01-04",3.00178599357605,3.06964302062988,2.99357104301453,3.05928611755371,847260400,2.59329509735107
"2007-01-05",3.06321406364441,3.0785710811615,3.01428604125977,3.03749990463257,834741600,2.57482695579529
"2007-01-08",3.0699999332428,3.09035706520081,3.04571390151978,3.05250000953674,797106800,2.58754301071167
"2007-01-09",3.08750009536743,3.32071399688721,3.04107093811035,3.30607104301453,3349298400,2.80248975753784
"2007-01-10",3.38392901420593,3.49285697937012,3.33750009536743,3.46428608894348,2952880000,2.93660497665405
"2007-01-11",3.42642903327942,3.45642900466919,3.39642906188965,3.4214289188385,1440252800,2.90027546882629
"2007-01-12",3.37821388244629,3.39499998092651,3.32964301109314,3.37928605079651,1312690400,2.86455273628235
"2007-01-16",3.41714310646057,3.47321391105652,3.40892910957336,3.46785688400269,1244076400,2.93963241577148
"2007-01-17",3.48428606987,3.48571395874023,3.38642907142639,3.3910710811615,1646260000,2.87454199790955
"2007-01-18",3.28928589820862,3.28964304924011,3.18035697937012,3.18107104301453,2364605600,2.69652915000916
"2007-01-19",3.16535711288452,3.20178604125977,3.14714288711548,3.16071391105652,1364473600,2.67927360534668
"2007-01-22",3.18357110023499,3.18428611755371,3.05892896652222,3.09964299201965,1454026000,2.62750434875488
"2007-01-23",3.06178593635559,3.12535691261292,3.05392909049988,3.06071400642395,1207424400,2.59450554847717
"2007-01-24",3.09571409225464,3.11249995231628,3.07428598403931,3.09642910957336,927813600,2.62478017807007
"2007-01-25",3.11107110977173,3.16071391105652,3.07249999046326,3.08035707473755,905973600,2.61115574836731
"2007-01-26",3.11107110977173,3.12035703659058,3.0353569984436,3.04928588867188,986874000,2.58481764793396
"2007-01-29",3.0821430683136,3.09464311599731,3.05464291572571,3.06928610801697,901664400,2.60177230834961
"2007-01-30",3.08678603172302,3.08892893791199,3.04464292526245,3.05535697937012,577970400,2.58996486663818
"2007-01-31",3.03071403503418,3.07142901420593,3.01250004768372,3.06178593635559,856069200,2.59541368484497
"2007-02-01",3.07964301109314,3.08107089996338,3.02642893791199,3.02642893791199,664342000,2.56544256210327
"2007-02-02",3.00428605079651,3.04464292526245,2.98928594589233,3.02678608894348,621530000,2.56574535369873
"2007-02-05",3.01071405410767,3.04392910003662,2.99785709381104,2.99785709381104,578852400,2.54122185707092
"2007-02-06",3.0160710811615,3.01678609848022,2.95928597450256,3.00535702705383,864393600,2.54758048057556
"2007-02-07",3.01714301109314,3.08500003814697,2.9839289188385,3.07678604125977,1066825200,2.60812926292419
"2007-02-08",3.05107092857361,3.0896430015564,3.05035710334778,3.07785701751709,679030800,2.60903692245483
"2007-02-09",3.06714296340942,3.0785710811615,2.97178602218628,2.97392892837524,860540800,2.52093935012817
"2007-02-12",3.01535701751709,3.04214310646057,2.98678588867188,3.03142905235291,724071600,2.56968069076538
"2007-02-13",3.04142904281616,3.04607105255127,3.01071405410767,3.02500009536743,580986000,2.56423115730286
"2007-02-14",3.02250003814697,3.05857110023499,3.02035689353943,3.0464289188385,507981600,2.58239650726318
"2007-02-15",3.05142903327942,3.05785703659058,3.02785706520081,3.0432140827179,363661200,2.57967162132263
"2007-02-16",3.04464292526245,3.05035710334778,3.0235710144043,3.02964305877686,399868000,2.56816720962524
"2007-02-20",3.02321410179138,3.07714295387268,3.00571393966675,3.06785702705383,617702400,2.60056042671204
"2007-02-21",3.07071399688721,3.19607090950012,3.0699999332428,3.18571400642395,1155313600,2.70046496391296
"2007-02-22",3.24285697937012,3.24321389198303,3.16178607940674,3.19678592681885,838224800,2.7098503112793
"2007-02-23",3.18428611755371,3.2264289855957,3.17321395874023,3.18107104301453,517893600,2.69652915000916
"2007-02-26",3.20857095718384,3.21428608894348,3.12892889976501,3.16107106208801,615848800,2.67957592010498
"2007-02-27",3.0821430683136,3.10999989509583,2.97892904281616,2.99749994277954,1145813200,2.54092121124268
"2007-02-28",2.96428608894348,3.05714297294617,2.96428608894348,3.02178597450256,919475200,2.56150698661804
